listing_id,date
9312300,2017-02-24
9312300,2017-02-27
9312300,2017-03-10
9312300,2017-03-11
9312300,2017-03-19
9312300,2017-03-23
9312300,2017-03-27
9312300,2017-03-29
9312300,2017-03-31
9312300,2017-04-07
9312300,2017-04-20
9312300,2017-04-22
9312300,2017-04-29
9312300,2017-05-09
9312300,2017-05-10
9312300,2017-05-13
9312300,2017-05-18
9312300,2017-05-26
9312300,2017-05-27
9312300,2017-05-28
9312300,2017-05-30
16882620,2017-01-29
16882620,2017-02-08
16882620,2017-02-19
16882620,2017-02-22
16882620,2017-02-27
16882620,2017-02-28
16882620,2017-03-04
16882620,2017-03-05
16882620,2017-03-12
16882620,2017-04-17
13504566,2016-07-05
13504566,2016-07-10
13504566,2016-07-15
13504566,2016-07-21
13504566,2016-07-30
13504566,2016-08-29
13504566,2016-09-14
13504566,2017-01-01
13504566,2017-05-05
13504566,2017-05-14
13504566,2017-05-17
13504566,2017-05-19
13504566,2017-05-22
13504566,2017-05-29
13940183,2016-08-15
5959077,2015-04-12
5959077,2015-04-19
5959077,2015-04-28
5959077,2015-05-01
5959077,2015-06-03
5959077,2015-06-06
5959077,2015-06-08
5959077,2015-06-11
5959077,2015-06-19
5959077,2015-06-21
5959077,2015-06-25
5959077,2015-06-26
5959077,2015-06-27
5959077,2015-06-30
5959077,2015-07-02
5959077,2015-07-07
5959077,2015-07-09
5959077,2015-07-12
5959077,2015-07-19
5959077,2015-07-26
5959077,2015-07-29
5959077,2015-07-31
5959077,2015-08-03
5959077,2015-08-07
5959077,2015-08-08
5959077,2015-08-14
5959077,2015-08-21
5959077,2015-08-23
5959077,2015-08-25
5959077,2015-08-29
5959077,2015-08-30
5959077,2015-09-03
5959077,2015-09-05
5959077,2015-09-16
5959077,2015-09-18
5959077,2015-09-27
5959077,2015-10-02
5959077,2015-10-04
5959077,2015-10-10
5959077,2015-10-11
5959077,2015-10-15
5959077,2015-10-18
5959077,2015-10-21
5959077,2015-10-25
5959077,2015-11-01
5959077,2015-11-06
5959077,2015-11-07
5959077,2015-11-09
5959077,2015-11-11
5959077,2015-11-12
5959077,2015-11-15
5959077,2015-11-20
5959077,2015-12-06
5959077,2015-12-11
5959077,2015-12-13
5959077,2015-12-20
5959077,2015-12-27
5959077,2015-12-29
5959077,2016-01-01
5959077,2016-01-06
5959077,2016-01-10
5959077,2016-01-20
5959077,2016-01-24
5959077,2016-01-29
5959077,2016-01-31
5959077,2016-02-15
5959077,2016-02-26
5959077,2016-02-28
5959077,2016-03-04
5959077,2016-03-16
5959077,2016-03-19
5959077,2016-03-30
5959077,2016-04-01
5959077,2016-04-05
